hhnum,0.25 mi,0.50 mi,1.0 mi,2.0 mi,5.0 mi,10.0 mi,15.0 mi,30.0 mi,0.25 mi_ff,0.50 mi_ff,1.0 mi_ff,2.0 mi_ff,5.0 mi_ff,10.0 mi_ff,15.0 mi_ff,30.0 mi_ff,nearsnap_dist,nearsnap_stype,nearff_dist,inchhavg_r
110653,0,1,3,17,76,257,606,2335,0,2,10,29,71,197,404,1465,0.49,SS,0.49,4935.39733719838
110656,0,0,11,13,13,16,26,37,0,0,5,5,5,5,5,5,0.6,CO,0.79,1620.0
110658,0,0,0,0,1,8,13,53,0,0,0,0,0,1,1,2,4.9,CS,5.36,3341.992
110662,1,1,7,16,68,87,93,151,0,0,2,18,68,74,74,77,0.16,CS,0.75,2965.67
110666,0,2,3,10,27,88,97,121,0,2,2,9,18,18,18,19,0.42,SS,0.27,8811.83
110670,0,3,6,21,38,42,54,376,0,6,13,32,49,52,57,57,0.42,CS,0.39,0.0
110671,0,1,2,10,16,16,24,68,0,0,0,8,9,9,10,10,0.32,CS,1.07,1260.38517603751
110673,0,0,5,10,73,420,789,1070,0,4,8,11,47,170,301,355,0.67,SM,0.33,1362.0
110675,0,1,5,7,10,40,69,526,1,4,6,6,6,28,44,80,0.4,CO,0.18,0.0
110680,0,1,7,14,52,215,321,366,0,7,15,24,39,63,68,81,0.29,SS,0.27,3992.0
110683,0,0,7,35,198,573,801,994,0,0,1,9,148,379,437,439,0.59,CS,0.66,4340.0
110688,0,0,9,19,61,152,213,405,0,0,7,15,51,122,155,212,0.59,CO,0.6,1516.676
110702,1,3,15,69,132,2588,7005,14446,0,2,3,7,32,200,428,428,0.15,CS,0.48,308.0
110706,7,43,124,299,1891,8494,12973,15030,2,5,18,47,129,178,180,180,0.04,CS,0.16,2882.2010400156
110707,0,1,4,34,63,90,123,278,0,2,6,10,35,44,51,53,0.44,CS,0.44,3528.59932584713
110710,0,0,0,2,20,172,473,1278,0,0,0,0,11,40,78,110,1.59,CS,4.65,3700.0
110712,2,9,13,37,186,499,738,973,2,7,9,17,82,241,359,439,0.21,SM,0.21,13043.338
110720,0,2,6,37,70,88,93,145,0,3,13,48,71,74,74,77,0.33,SS,0.3,2544.0
110724,0,0,0,1,55,261,615,1000,0,0,0,0,33,161,402,439,1.74,DR,3.13,10040.0
110729,0,0,1,16,72,278,323,385,0,0,5,14,30,69,75,96,0.87,CO,0.8,9400.00000000001
110732,0,1,5,7,52,267,485,859,0,0,2,14,43,173,319,531,0.5,CS,0.64,1120.0
110738,0,0,0,0,0,18,94,1019,0,0,0,0,0,8,51,354,5.19,CS,6.21,6580.0
110739,2,7,13,26,32,33,35,38,2,5,9,19,19,19,19,19,0.15,LG,0.14,1838.03688241464
110740,0,0,0,0,4,22,39,264,0,0,0,0,2,10,13,29,3.86,SG,4.78,3990.0
110741,0,0,0,0,0,1,31,121,0,0,0,0,0,0,18,19,9.82,SM,11.9,5099.75186690932
110743,2,3,11,33,87,213,553,2360,2,6,24,55,155,335,648,1057,0.07,SM,0.15,12258.0
110746,0,0,0,0,5,13,28,208,0,0,0,0,1,2,3,18,2.94,CS,2.87,1400.0
110752,0,0,0,0,0,0,32,121,0,0,0,0,0,0,18,19,10.23,SM,12.3,5866.0
110755,6,23,80,189,338,1076,2611,6544,3,17,24,39,159,287,298,1242,0.03,SG,0.2,768.96
110758,0,4,10,18,111,230,533,1593,0,1,5,22,65,90,196,196,0.4,CS,0.46,1200.0
110765,5,7,12,53,271,719,1218,2335,3,10,13,35,239,654,984,1478,0.14,CS,0.12,2271.68487780671
110766,0,2,16,73,252,684,1087,2503,2,3,7,36,150,417,646,736,0.32,SS,0.2,120.0
110770,1,2,9,20,32,33,35,39,1,9,15,19,19,19,19,19,0.22,CS,0.17,2240.0
110772,15,53,94,465,3642,10019,12403,15074,0,10,15,77,219,394,428,428,0.04,SG,0.31,2219.31792603107
110775,0,0,0,3,11,42,112,1135,0,0,0,14,16,52,124,805,1.68,CS,1.68,6514.0
110777,0,10,30,212,995,2514,3255,4913,0,3,9,47,290,743,883,1042,0.26,SG,0.43,3000.0
110779,0,0,3,30,95,221,563,2480,2,4,13,49,158,355,673,1057,0.55,SM,0.21,1500.0
110780,2,9,16,66,264,544,651,1333,3,6,12,46,170,448,545,640,0.2,SM,0.2,1508.0
110784,0,0,9,25,133,455,953,1814,0,0,0,2,37,104,180,196,0.52,CO,1.19,7280.0
110786,9,33,91,266,1919,7860,12862,15018,0,5,12,31,95,167,180,180,0.04,SG,0.4,4200.95045686752
110790,5,10,26,64,225,452,573,906,2,6,20,34,160,337,450,599,0.03,CS,0.09,2240.0
110793,0,1,1,6,40,74,111,389,0,0,0,3,24,49,63,208,0.3,CO,1.34,3800.0
110796,1,3,9,27,173,588,1046,1763,0,6,15,28,81,162,195,196,0.16,CS,0.49,2618.0
110797,3,6,14,31,188,618,1072,1778,6,14,21,30,81,147,195,196,0.09,CO,0.1,1759.338
110801,0,1,8,26,30,36,72,440,0,0,0,9,9,9,9,39,0.31,SM,1.0,1680.0
110807,2,2,7,17,85,96,99,108,5,8,9,17,71,89,89,90,0.15,CS,0.06,1372.0
110811,5,16,45,110,399,971,2117,5775,0,5,14,54,242,473,903,1364,0.11,BB,0.43,5535.462
110817,1,6,11,28,32,33,35,38,0,4,6,19,19,19,19,19,0.19,LG,0.34,3200.0
110818,2,2,3,21,229,614,1089,4505,3,4,12,61,254,687,1016,1057,0.09,CS,0.08,4000.0
110819,0,0,0,0,84,256,317,427,0,0,0,0,50,168,214,221,2.4,CO,2.37,2133.0
110824,0,0,0,2,8,88,234,1146,0,0,0,1,2,15,69,101,1.74,CO,1.76,4496.56567610946
110827,0,6,23,92,460,949,1175,1869,0,1,5,14,144,395,512,573,0.26,CS,0.34,3150.0
110836,0,0,8,33,197,553,768,1026,0,0,5,18,107,300,394,439,0.64,MG,0.64,2790.0
110839,0,2,3,4,36,79,201,423,0,0,0,1,16,49,143,212,0.33,SS,1.4,3640.0
110840,0,2,3,9,28,88,98,121,1,1,2,10,18,18,18,19,0.48,SS,0.23,3018.31
110846,0,0,0,5,62,97,100,108,0,0,0,16,73,89,89,90,1.09,SS,1.09,7900.0
110850,7,23,77,185,339,1068,2591,6539,4,17,24,37,158,287,298,1242,0.04,SG,0.22,1972.0
110854,0,0,7,19,76,133,214,1683,0,0,6,20,62,103,145,302,0.8,CO,0.76,8530.0
110855,0,1,1,2,18,57,112,659,0,0,0,0,19,44,68,80,0.38,SS,2.56,3920.0
110861,1,2,22,62,168,442,1194,4314,0,0,2,11,83,297,500,552,0.17,LG,0.84,1121.0
110864,0,0,4,4,48,190,765,4393,0,0,6,6,32,80,167,199,0.57,SM,0.57,4610.0
110868,0,0,1,4,29,201,747,2567,0,0,0,10,50,214,508,736,0.9,SM,1.0,3920.0
110870,0,0,0,0,0,8,33,111,0,0,0,0,0,0,13,37,5.3,CS,10.88,2313.0
110875,0,2,5,22,38,42,54,377,0,5,13,32,49,52,57,57,0.36,CS,0.32,3840.0
110883,0,0,0,0,0,0,10,38,0,0,0,0,0,0,5,17,10.75,SS,10.65,4200.0
110884,2,6,18,33,135,654,1424,2896,2,5,11,31,157,736,1175,1478,0.1,CS,0.11,1936.0
110889,0,0,1,3,49,117,311,968,0,0,0,2,29,33,51,63,0.69,SG,1.23,14840.0
110890,1,3,8,21,97,547,1181,2980,0,1,2,17,46,115,396,869,0.17,CS,0.35,2123.2
110893,1,1,3,8,216,1343,3138,6515,0,2,7,16,171,330,749,1530,0.22,CO,0.33,3789.8
110894,0,0,0,0,7,75,102,165,0,0,0,0,13,47,56,56,3.63,CO,3.3,2437.58
110900,0,2,15,65,296,977,2428,7521,0,1,5,33,181,189,278,1360,0.29,CS,0.46,5740.0
110906,0,2,10,31,92,96,99,108,0,3,4,24,88,89,89,90,0.43,SS,0.27,1191.45363062828
110913,2,2,4,4,22,112,200,380,3,5,10,14,31,108,165,212,0.19,CO,0.1,850.0
110916,1,3,9,28,265,1062,1811,2988,3,3,5,46,236,483,649,869,0.17,SS,0.15,1218.0
