hhnum,0.25 mi,0.50 mi,1.0 mi,2.0 mi,5.0 mi,10.0 mi,15.0 mi,30.0 mi,0.25 mi_ff,0.50 mi_ff,1.0 mi_ff,2.0 mi_ff,5.0 mi_ff,10.0 mi_ff,15.0 mi_ff,30.0 mi_ff,nearsnap_dist,nearsnap_stype,nearff_dist
101599,0,0,0,0,0,27,145,810,0,0,0,0,0,2,12,74,5.51,SM,9.46
101601,10,37,192,477,2616,9116,11956,14980,2,3,11,76,269,412,428,428,0.12,CS,0.17
101602,5,5,7,16,28,72,265,587,3,3,4,7,20,24,30,69,0.17,CO,0.19
101603,0,0,0,1,19,120,388,4336,0,0,0,0,20,66,135,199,1.08,CS,2.98
101608,2,7,23,48,148,547,807,1935,1,3,9,31,143,522,745,1472,0.21,CS,0.16
101609,0,2,11,27,91,96,99,108,0,0,16,31,88,89,89,90,0.49,CS,0.5
101611,1,11,49,171,932,2278,3203,4948,0,0,12,52,279,789,948,1088,0.13,SG,0.53
101618,0,0,6,24,124,413,735,975,0,0,3,16,104,313,418,439,0.89,CO,0.9
101624,3,8,20,66,270,614,687,1389,2,6,18,47,229,526,578,637,0.03,CS,0.07
101625,0,0,0,0,6,7,15,51,0,0,0,0,0,1,1,2,3.32,CS,5.17
101626,0,0,6,32,212,566,773,1022,0,0,5,18,108,312,401,439,0.6,MG,0.6
101630,4,9,26,91,507,786,903,1067,3,6,8,16,147,279,320,345,0.19,CS,0.1
101631,4,7,13,49,549,1698,3462,6843,0,0,0,25,245,287,452,1371,0.06,CS,1.21
101636,0,0,2,20,74,97,126,307,0,0,0,21,44,45,50,53,0.82,CS,1.33
101637,0,1,8,22,161,739,2156,4526,0,4,12,30,71,134,162,196,0.36,SS,0.32
101638,1,1,1,3,51,80,199,424,0,0,0,0,28,50,147,212,0.24,CS,2.53
101640,0,1,8,21,38,42,48,330,0,0,5,23,49,52,57,57,0.46,SS,0.92
101643,2,2,7,17,85,96,99,108,5,8,9,17,71,89,89,90,0.15,CS,0.06
